codigo;descricao;vigencia_inicio;vigencia_fim
2105;QUANTIDADE DE MEDICAMENTOS DEVE SER MAIOR QUE ZERO;2006-11-16;2026-06-30
2106;MEDICAMENTO INFORMADO NÃO COBERTO;2006-11-16;2026-06-30
2107;COBRANÇA DE MEDICAMENTO EM QUANTIDADE INCOMPATÍVEL COM A PERMANÊNCIA.;2006-11-16;2026-06-30
2108;COBRANÇA DE MEDICAMENTO EM QUANTIDADES INCOMPATÍVEIS COM O PROCEDIMENTO REALIZADO.;2006-11-16;2026-06-30
2109;QUANTIDADE DE MEDICAMENTO SUPERIOR A QUANTIDADE COBERTA;2006-11-16;2026-06-30
2110;COBRANÇA DE MEDICAMENTO INCLUSOS NAS TAXAS;2006-11-16;2026-06-30
2111;COBRANÇA DE MEDICAMENTO INCLUSO NO PACOTE NEGOCIADO.;2006-11-16;2026-06-30
2112;COBRANÇA DE MEDICAMENTO INCOMPATÍVEL COM O RELATÓRIO TÉCNICO.;2006-11-16;2026-06-30
2113;COBRANÇA DE MEDICAMENTO EM PERMANÊNCIA HOSPITALAR NÃO AUTORIZADA.;2006-11-16;2026-06-30
2114;COBRANÇA DE MEDICAMENTO NÃO UTILIZADO;2006-11-16;2026-06-30
2115;MEDICAMENTO NÃO AUTORIZADO;2013-04-01;2026-06-30
2201;OPME INVÁLIDO;2006-11-16;2026-06-30
2202;OPME SEM COBERTURA PARA ATENDIMENTO AMBULATORIAL;2006-11-16;2026-06-30
2203;OPME SEM NOTA FISCAL DO FORNECEDOR;2006-11-16;2026-06-30
2204;QUANTIDADE DE OPME DEVE SER MAIOR QUE ZERO;2006-11-16;2026-06-30
2205;OPME INFORMADO NÃO COBERTO;2006-11-16;2026-06-30
2206;OPME INFORMADO NÃO AUTORIZADO;2006-11-16;2026-06-30
2207;COBRANÇA DE OPME NÃO UTILIZADO;2006-11-16;2026-06-30
2208;COBRANÇA DE OPME NO ITEM MATERIAL E MEDICAMENTOS.;2006-11-16;2026-06-30
2209;COBRANÇA DE OPME EM DESACORDO COM RELATÓRIO TÉCNICO;2006-11-16;2026-06-30
2210;COBRANÇA DE OPME EM QUANTIDADE INCOMPATÍVEL COM O PROCEDIMENTO REALIZADO;2006-11-16;2026-06-30
2211;COBRANÇA DE OPME INCLUSA NO PACOTE NEGOCIADO;2016-05-01;2026-06-30
2212;OPME EM DESACORDO COM OS CRITÉRIOS TÉCNICOS ADOTADOS PELA OPERADORA;2013-04-01;2026-06-30
2213;OPME PAGO A FORNECEDOR TERCEIRIZADO;2013-04-01;2026-06-30
2301;GASES MEDICINAIS INVÁLIDOS;2006-11-16;2026-06-30
